,playerID,yearID,POS,G,InnOuts,PO,A,E,DP,birthYear,age,Range Factor,Fielding %,RF Yearly Avg
37890,burnsja02,1934,1B,154,,1365,81,12.0,132,1907.0,27.0,9.38961038961039,99.1769547325103,4.421732537933992
38113,jordabu01,1934,1B,117,,1165,66,14.0,85,1907.0,27.0,10.521367521367521,98.87550200803213,4.421732537933992
70334,perezto01,1973,1B,151,3884.0,1318,85,13.0,131,1942.0,31.0,9.291390728476822,99.0819209039548,4.060371410601424
117372,gonzaad01,2006,1B,155,4023.0,1242,116,7.0,117,1982.0,24.0,8.761290322580646,99.48717948717949,4.055654346333358
138831,zimmery01,2017,1B,143,3486.0,1005,49,12.0,100,1984.0,33.0,7.370629370629371,98.87429643527204,4.02931852259519
117341,garcino01,2006,1B,118,3051.0,1059,61,4.0,113,1973.0,33.0,9.491525423728813,99.644128113879,4.055654346333358
117295,fieldpr01,2006,1B,152,3958.0,1259,88,11.0,113,1984.0,22.0,8.861842105263158,99.1899852724595,4.055654346333358
117493,hattesc01,2006,1B,131,3266.0,1002,69,4.0,86,1969.0,37.0,8.17557251908397,99.62790697674419,4.055654346333358
70357,powelbo01,1973,1B,111,2750.0,988,77,12.0,95,1941.0,32.0,9.594594594594595,98.88579387186628,4.060371410601424
78948,rosepe01,1980,1B,162,4200.0,1427,123,5.0,113,1941.0,39.0,9.567901234567902,99.67845659163987,4.198739816198135
70385,roberbo01,1973,1B,107,2836.0,957,79,5.0,91,1946.0,27.0,9.682242990654206,99.51969260326608,4.060371410601424
78905,reverda01,1980,1B,95,2363.0,724,67,9.0,56,1953.0,27.0,8.326315789473684,98.875,4.198739816198135
117191,delgaca01,2006,1B,141,3739.0,1199,70,8.0,95,1972.0,34.0,9.0,99.37353171495693,4.055654346333358
38029,greenha01,1934,1B,153,,1454,84,16.0,124,1911.0,23.0,10.052287581699346,98.97039897039896,4.421732537933992
38018,gehrilo01,1934,1B,153,,1284,80,8.0,126,1903.0,31.0,8.915032679738562,99.41690962099126,4.421732537933992
96447,palmera01,1993,1B,160,4186.0,1388,147,5.0,133,1964.0,29.0,9.59375,99.67532467532467,4.175549930963726
117503,heltoto01,2006,1B,145,3817.0,1367,87,4.0,156,1973.0,33.0,10.027586206896551,99.72565157750343,4.055654346333358
96413,olerujo01,1993,1B,137,3616.0,1160,97,10.0,107,1968.0,25.0,9.175182481751825,99.21073401736386,4.175549930963726
117561,howarry01,2006,1B,159,4236.0,1373,91,14.0,139,1979.0,27.0,9.20754716981132,99.05277401894452,4.055654346333358
117676,konerpa01,2006,1B,140,3545.0,1173,67,6.0,113,1976.0,30.0,8.857142857142858,99.51845906902086,4.055654346333358
79026,squirmi01,1980,1B,114,2397.0,904,68,5.0,79,1952.0,28.0,8.526315789473685,99.48822927328557,4.198739816198135
96272,martiti02,1993,1B,103,2780.0,932,60,3.0,89,1967.0,26.0,9.631067961165048,99.69849246231156,4.175549930963726
70248,montawi01,1973,1B,99,2477.0,785,52,5.0,87,1948.0,25.0,8.454545454545455,99.40617577197149,4.060371410601424
96275,mattido01,1993,1B,130,3355.0,1258,84,3.0,123,1961.0,32.0,10.323076923076924,99.77695167286245,4.175549930963726
26522,pippwa01,1916,1B,148,,1513,99,13.0,89,1893.0,23.0,10.891891891891891,99.2,4.590562054772288
96362,morriha02,1993,1B,98,2503.0,746,75,5.0,61,1965.0,28.0,8.377551020408163,99.39467312348668,4.175549930963726
117629,johnsni01,2006,1B,147,3757.0,1165,93,15.0,91,1978.0,28.0,8.5578231292517,98.8216810683425,4.055654346333358
96372,murraed02,1993,1B,154,3963.0,1319,111,18.0,118,1956.0,37.0,9.285714285714286,98.75690607734806,4.175549930963726
26550,saiervi01,1916,1B,147,,1622,74,27.0,78,1891.0,25.0,11.537414965986395,98.43296575739988,4.590562054772288
117604,jacobmi02,2006,1B,124,2916.0,931,57,7.0,101,1980.0,26.0,7.967741935483871,99.2964824120603,4.055654346333358
117597,jacksco01,2006,1B,129,3236.0,1110,81,12.0,111,1982.0,24.0,9.232558139534884,99.00249376558602,4.055654346333358
38165,leslisa01,1934,1B,138,,1262,93,9.0,104,1905.0,29.0,9.818840579710145,99.34017595307918,4.421732537933992
26595,sislege01,1916,1B,141,,1510,83,24.0,85,1893.0,23.0,11.297872340425531,98.51576994434137,4.590562054772288
49118,robined01,1950,1B,119,,976,60,14.0,105,1920.0,30.0,8.705882352941176,98.66666666666667,4.131222213932103
78862,putnapa01,1980,1B,137,2868.0,979,80,9.0,107,1953.0,27.0,7.7299270072992705,99.15730337078652,4.198739816198135
117697,larocad01,2006,1B,142,3463.0,1117,97,5.0,109,1979.0,27.0,8.549295774647888,99.58982772764561,4.055654346333358
37992,foxxji01,1934,1B,140,,1378,85,10.0,133,1907.0,27.0,10.45,99.32111337406653,4.421732537933992
78824,perezto01,1980,1B,137,3561.0,1301,87,10.0,150,1942.0,38.0,10.13138686131387,99.28469241773963,4.198739816198135
70485,spencji01,1973,1B,99,2427.0,790,67,1.0,86,1947.0,26.0,8.656565656565656,99.88344988344988,4.060371410601424
70544,tenacge01,1973,1B,134,3233.0,1095,61,13.0,104,1946.0,27.0,8.626865671641792,98.88793840889649,4.060371410601424
49250,waitked01,1950,1B,154,,1387,99,10.0,142,1919.0,31.0,9.64935064935065,99.33155080213903,4.131222213932103
96835,vaughmo01,1993,1B,131,3388.0,1110,70,16.0,104,1967.0,26.0,9.007633587786259,98.66220735785953,4.175549930963726
27002,judgejo01,1917,1B,100,,906,60,12.0,59,1894.0,23.0,9.66,98.77300613496932,4.559289880163044
116695,wardda01,2005,1B,109,2675.0,863,77,6.0,114,1975.0,30.0,8.623853211009175,99.36575052854123,4.082061815026156
26959,holkewa01,1917,1B,153,,1635,70,19.0,104,1892.0,25.0,11.143790849673202,98.89791183294663,4.559289880163044
37871,bottoji01,1934,1B,139,,1303,77,15.0,106,1900.0,34.0,9.928057553956835,98.9247311827957,4.421732537933992
27023,koneted01,1917,1B,129,,1351,70,8.0,65,1885.0,32.0,11.015503875968992,99.44016794961512,4.559289880163044
116604,teixema01,2005,1B,155,4074.0,1377,101,3.0,126,1980.0,25.0,9.535483870967742,99.79743416610398,4.082061815026156
70574,torrejo01,1973,1B,114,2409.0,833,60,6.0,80,1940.0,33.0,7.833333333333333,99.33259176863181,4.060371410601424
70636,yastrca01,1973,1B,107,2689.0,912,56,6.0,85,1939.0,34.0,9.046728971962617,99.38398357289527,4.060371410601424
116547,snowjt01,2005,1B,108,2477.0,814,57,3.0,62,1968.0,37.0,8.064814814814815,99.65675057208237,4.082061815026156
27049,luderfr01,1917,1B,154,,1597,91,16.0,91,1885.0,32.0,10.96103896103896,99.06103286384976,4.559289880163044
37869,bonurze01,1934,1B,127,,1239,77,5.0,94,1908.0,26.0,10.362204724409448,99.62149886449659,4.421732537933992
26958,hoblidi01,1917,1B,118,,1274,52,14.0,58,1888.0,29.0,11.23728813559322,98.955223880597,4.559289880163044
78751,murraed02,1980,1B,154,4122.0,1369,77,9.0,158,1956.0,24.0,9.38961038961039,99.38144329896907,4.198739816198135
37896,camildo01,1934,1B,102,,882,55,14.0,77,1907.0,27.0,9.186274509803921,98.52786540483702,4.421732537933992
26803,chaseha01,1917,1B,151,,1499,80,28.0,100,1883.0,34.0,10.456953642384105,98.25762289981331,4.559289880163044
55650,hodgegi01,1959,1B,113,2857.0,891,66,8.0,77,1924.0,35.0,8.469026548672566,99.17098445595855,3.882745139035295
96639,seguida01,1993,1B,144,3463.0,1152,98,5.0,122,1966.0,27.0,8.680555555555555,99.60159362549801,4.175549930963726
96707,snowjt01,1993,1B,129,3177.0,1010,81,6.0,103,1968.0,25.0,8.457364341085272,99.45305378304467,4.175549930963726
96715,sorrepa01,1993,1B,144,3249.0,1012,86,6.0,107,1965.0,28.0,7.625,99.45652173913044,4.175549930963726
26837,daubeja01,1917,1B,125,,1188,82,12.0,59,1884.0,33.0,10.16,99.06396255850234,4.559289880163044
55626,harriga01,1959,1B,93,2256.0,728,57,6.0,59,1931.0,28.0,8.440860215053764,99.24146649810368,3.882745139035295
55611,hadleke01,1959,1B,95,1984.0,656,42,8.0,66,1934.0,25.0,7.347368421052631,98.86685552407933,3.882745139035295
116927,berkmla01,2006,1B,112,2769.0,964,71,6.0,96,1976.0,30.0,9.241071428571429,99.42363112391931,4.055654346333358
26903,gandich01,1917,1B,149,,1405,77,8.0,84,1888.0,29.0,9.946308724832214,99.46308724832214,4.559289880163044
70444,scottge02,1973,1B,157,4072.0,1388,118,9.0,144,1944.0,29.0,9.59235668789809,99.4059405940594,4.060371410601424
37932,colliri02,1934,1B,154,,1289,110,13.0,115,1904.0,30.0,9.084415584415584,99.07932011331445,4.421732537933992
49224,torgeea01,1950,1B,156,,1365,110,21.0,126,1924.0,26.0,9.455128205128204,98.59625668449198,4.131222213932103
26937,harrijo03,1917,1B,95,,1019,86,17.0,58,1891.0,26.0,11.631578947368421,98.48484848484848,4.559289880163044
96788,thomafr04,1993,1B,150,3902.0,1222,83,15.0,128,1968.0,25.0,8.7,98.86363636363636,4.175549930963726
26787,burnsge02,1917,1B,104,,1127,57,12.0,44,1893.0,24.0,11.384615384615385,98.99665551839465,4.559289880163044
